category,model,brand,ym,mean_forecast,std_forecast,cv
CSD,LightGBM,FREM,,34356.19901521669,3780.4248566124284,0.11003617876756512
CSD,LightGBM,FREM,,50206.96385206901,3006.972995736409,0.05989155218778465
CSD,LightGBM,FREM,,41005.5968220888,2167.991736255865,0.05287062996941959
CSD,LightGBM,FREM,,46416.64519410648,831.7177650623439,0.017918523874016365
CSD,LightGBM,FREM,,74693.43113283181,1372.107086067954,0.01836984946678716
CSD,LightGBM,FREM,,46831.10493672028,2241.027391027761,0.0478533956022586
CSD,LightGBM,FRESH,,20838.471363220597,1180.3952626615885,0.056645002509395095
CSD,LightGBM,FRESH,,15573.148404194992,466.15094198260834,0.029932992987920137
CSD,LightGBM,FRESH,,19750.436066209128,2303.0145768648667,0.1166057584320924
CSD,LightGBM,FRESH,,19402.101350577595,825.0368890524401,0.04252306872048573
CSD,LightGBM,FRESH,,28091.220003689996,1847.58716412317,0.06577098338486101
CSD,LightGBM,FRESH,,38231.31609433473,6929.9702099255455,0.18126423356250757
CSD,LightGBM,FRESH,,47070.93901498258,1214.7185526747508,0.025806125352377366
CSD,LightGBM,FRESH MOJITO,,4512.8554234500125,1210.199572230275,0.2681671488835543
CSD,LightGBM,FRESH MOJITO,,3244.281134761409,285.8058777250767,0.08809528701528373
CSD,LightGBM,FRESH MOJITO,,5988.698774684961,268.798242765441,0.04488424829475269
CSD,LightGBM,FRESH MOJITO,,4557.228217473072,372.33301058445034,0.08170163810468647
CSD,LightGBM,FRESH MOJITO,,4369.152809634367,425.966489120672,0.09749406983005454
CSD,LightGBM,FRESH MOJITO,,17384.47885785558,1633.4964041993398,0.09396292046230689
CSD,LightGBM,FRESH MOJITO,,16290.206036672982,593.7820911747053,0.03645025052709376
CSD,LightGBM,FUGLSANG,,323.27910606150374,45.742162203068,0.14149433522117438
CSD,LightGBM,FUGLSANG,,293.2430997502497,25.292003072450633,0.08624926927177967
CSD,LightGBM,FUGLSANG,,81.93639896089456,17.049850213984296,0.2080863990876827
CSD,LightGBM,FUGLSANG,,98.38556602727337,14.13359299679604,0.14365514747232414
CSD,LightGBM,FUGLSANG,,188.16737799115558,21.20387372534025,0.11268623685842558
CSD,LightGBM,FUGLSANG,,184.79164331054713,10.472358399777956,0.05667116873991367
CSD,LightGBM,FUGLSANG,,168.6404739534019,29.33403321289901,0.17394420523868118
CSD,LightGBM,GALVANINA,,926.1153345029176,243.5379683244731,0.26296721288519587
CSD,LightGBM,GALVANINA,,324.1185905403848,66.94529688554583,0.20654568679300894
CSD,LightGBM,GALVANINA,,8.5423259774461,2.707368664683784,0.31693577040163556
CSD,LightGBM,GALVANINA,,227.55354926132705,47.12658267583373,0.2071010662273284
CSD,LightGBM,GALVANINA,,3.2371741500008837,0.9559300073108571,0.295297677238216
CSD,LightGBM,GALVANINA,,3.1814113899276064,0.5096685824266366,0.1602020361278188
CSD,LightGBM,GALVANINA,,128.5858456413368,32.56411538495895,0.2532480555891798
CSD,LightGBM,GAZOZ,,12.98273172761202,2.7983488291879235,0.2155439154023587
CSD,LightGBM,GAZOZ,,14.307396907661666,1.166432870806299,0.08152656128395164
CSD,LightGBM,GAZOZ,,2.321999910462723,0.5367599597116407,0.23116278226069198
CSD,LightGBM,GAZOZ,,0.21831593776154543,0.14410929176070142,0.6600951503508834
CSD,LightGBM,GAZOZ,,0.6807414587113496,0.1380743916078222,0.20282941466382612
CSD,LightGBM,GAZOZ,,1.1838316181170416,0.436566632752865,0.36877426322440315
CSD,LightGBM,GAZOZ,,90.2235782898131,24.24800417384532,0.2687546274872485
CSD,LightGBM,GUARANA ANARCTICA,,16544.48830850985,1126.3872009787294,0.06808232324715409
CSD,LightGBM,GUARANA ANARCTICA,,11061.90891933392,848.7189677561098,0.07672445813332682
CSD,LightGBM,GUARANA ANARCTICA,,24284.022138970628,2489.0185072904637,0.10249613894463244
CSD,LightGBM,GUARANA ANARCTICA,,29612.74053785546,2499.9647925748855,0.08442193282918392
CSD,LightGBM,GUARANA ANARCTICA,,29918.13154766609,2401.765375361608,0.08027792014802373
