category,model,tuned_for,trial,value,best
CSD,XGBoost,medmape,61,30.544666040908915,29.59376141195473
CSD,XGBoost,medmape,62,30.29863472654517,29.59376141195473
CSD,XGBoost,medmape,63,30.46247298055822,29.59376141195473
CSD,XGBoost,medmape,64,31.760980654465467,29.59376141195473
CSD,XGBoost,medmape,65,31.80321963677423,29.59376141195473
CSD,XGBoost,medmape,66,30.70673511632984,29.59376141195473
CSD,XGBoost,medmape,67,31.08208930622674,29.59376141195473
CSD,XGBoost,medmape,68,31.275331418126406,29.59376141195473
CSD,XGBoost,medmape,69,29.552933579293235,29.552933579293235
CSD,XGBoost,medmape,70,31.285760132442995,29.552933579293235
CSD,XGBoost,medmape,71,30.121708640081238,29.552933579293235
CSD,XGBoost,medmape,72,30.65606747815695,29.552933579293235
CSD,XGBoost,medmape,73,29.62274150199518,29.552933579293235
CSD,XGBoost,medmape,74,30.20115030493111,29.552933579293235
CSD,XGBoost,medmape,75,30.48365924427031,29.552933579293235
CSD,XGBoost,medmape,76,35.0903504963397,29.552933579293235
CSD,XGBoost,medmape,77,30.612309998272693,29.552933579293235
CSD,XGBoost,medmape,78,30.869849954537592,29.552933579293235
CSD,XGBoost,medmape,79,32.03621568571545,29.552933579293235
CSD,XGBoost,medmape,80,29.963965992078233,29.552933579293235
CSD,XGBoost,medmape,81,29.45927652437946,29.45927652437946
CSD,XGBoost,medmape,82,30.008873290870156,29.45927652437946
CSD,XGBoost,medmape,83,30.113749336579023,29.45927652437946
CSD,XGBoost,medmape,84,31.101377550661375,29.45927652437946
CSD,XGBoost,medmape,85,30.064030263158248,29.45927652437946
CSD,XGBoost,medmape,86,31.32239455832486,29.45927652437946
CSD,XGBoost,medmape,87,30.55496000418568,29.45927652437946
CSD,XGBoost,medmape,88,30.720996043678376,29.45927652437946
CSD,XGBoost,medmape,89,29.951801993694627,29.45927652437946
CSD,XGBoost,medmape,90,30.49485507897723,29.45927652437946
CSD,XGBoost,medmape,91,30.446704255882153,29.45927652437946
CSD,XGBoost,medmape,92,30.519999004845076,29.45927652437946
CSD,XGBoost,medmape,93,30.045284561580647,29.45927652437946
CSD,XGBoost,medmape,94,30.544927586642594,29.45927652437946
CSD,XGBoost,medmape,95,29.736253274968625,29.45927652437946
CSD,XGBoost,medmape,96,30.711374690244167,29.45927652437946
CSD,XGBoost,medmape,97,30.500399682520207,29.45927652437946
CSD,XGBoost,medmape,98,29.9465635173442,29.45927652437946
CSD,XGBoost,medmape,99,31.3159223566352,29.45927652437946
danskvand,LightGBM,wmape,0,50.5977084265123,50.5977084265123
danskvand,LightGBM,wmape,1,52.29335166278021,50.5977084265123
danskvand,LightGBM,wmape,2,25.407951694252343,25.407951694252343
danskvand,LightGBM,wmape,3,22.583153863346304,22.583153863346304
danskvand,LightGBM,wmape,4,46.2014885986667,22.583153863346304
danskvand,LightGBM,wmape,5,56.542586988794326,22.583153863346304
danskvand,LightGBM,wmape,6,42.174087708535055,22.583153863346304
danskvand,LightGBM,wmape,7,50.17440808445154,22.583153863346304
danskvand,LightGBM,wmape,8,50.65739720890188,22.583153863346304
danskvand,LightGBM,wmape,9,26.250246921426328,22.583153863346304
danskvand,LightGBM,wmape,10,18.37086260724488,18.37086260724488
danskvand,LightGBM,wmape,11,20.080616617583672,18.37086260724488
danskvand,LightGBM,wmape,12,20.35362420905264,18.37086260724488
danskvand,LightGBM,wmape,13,20.260041845829463,18.37086260724488
danskvand,LightGBM,wmape,14,33.859625735579755,18.37086260724488
danskvand,LightGBM,wmape,15,33.62907515956769,18.37086260724488
danskvand,LightGBM,wmape,16,24.01096717811385,18.37086260724488
danskvand,LightGBM,wmape,17,34.1117579838188,18.37086260724488
danskvand,LightGBM,wmape,18,21.701010796626413,18.37086260724488
danskvand,LightGBM,wmape,19,25.48460415311858,18.37086260724488
