category,ensemble,lower90,upper90,agreement,confidence,tier,actual,in_interval
CSD,1800608.5,258342.6,12549915.7,0.522,46.2,Moderate,1479072.1,True
CSD,1810577.2,259772.9,12619396.1,0.481,45.0,Moderate,990886.5,True
CSD,1437773.7,206284.6,10021022.4,0.548,47.0,Moderate,973609.8,True
CSD,2591428.4,371806.1,18061787.7,0.556,47.2,Moderate,2187583.0,True
CSD,1676521.4,240539.1,11685051.1,0.859,56.3,Moderate,2640293.8,True
CSD,1391578.5,199656.7,9699050.4,0.491,45.3,Moderate,869041.4,True
CSD,1946245.1,279237.9,13564976.7,0.719,52.1,Moderate,1561342.9,True
CSD,254.7,35.5,1774.4,0.0,30.6,Low,207.0,True
CSD,196.7,27.2,1369.7,0.0,30.6,Low,287.0,True
CSD,220.0,30.6,1532.6,0.0,30.6,Low,151.0,True
CSD,223.5,31.1,1557.0,0.0,30.6,Low,127.0,True
CSD,182.4,25.2,1270.0,0.0,30.6,Low,71.0,True
CSD,159.7,21.9,1112.4,0.0,30.6,Low,151.0,True
CSD,165.1,22.7,1149.8,0.0,30.6,Low,79.0,True
CSD,176.2,24.3,1226.9,0.0,30.6,Low,263.0,True
CSD,4707.9,674.5,32812.3,0.0,30.6,Low,791.0,True
CSD,2355.2,336.9,16414.1,0.0,30.6,Low,799.0,True
CSD,799.7,113.7,5573.1,0.277,38.9,Low,687.0,True
CSD,787.5,112.0,5487.7,0.006,30.7,Low,567.0,True
CSD,4845.3,694.2,33769.9,0.682,51.0,Moderate,3143.0,True
CSD,1987.9,284.2,13854.6,0.88,57.0,Moderate,3415.0,True
CSD,2665.5,381.4,18577.4,0.577,47.9,Moderate,5943.0,True
CSD,2590.1,370.6,18051.5,0.803,54.7,Moderate,4663.0,True
CSD,3313.7,474.4,23095.1,0.939,58.7,Moderate,5127.0,True
CSD,3349.9,479.6,23347.4,0.849,56.0,Moderate,4975.0,True
CSD,6784.6,972.4,47286.6,0.167,35.6,Low,3223.0,True
CSD,4044.4,579.3,28187.7,0.294,39.4,Low,2255.0,True
CSD,3018.7,432.1,21038.8,0.491,45.3,Moderate,5335.0,True
CSD,2565.5,367.1,17880.2,0.95,59.1,Moderate,4471.0,True
CSD,4216.8,604.0,29389.1,0.0,30.6,Low,3023.0,True
CSD,3214.3,460.2,22402.0,0.04,31.8,Low,3119.0,True
CSD,321681.8,46152.5,2242063.3,0.328,40.4,Moderate,409555.6,True
CSD,350742.2,50322.0,2444608.8,0.352,41.1,Moderate,399951.0,True
CSD,456259.2,65461.1,3180043.7,0.342,40.8,Moderate,511902.6,True
CSD,286553.9,41112.5,1997228.2,0.34,40.8,Moderate,414528.2,True
CSD,313018.5,44909.6,2181681.7,0.326,40.3,Moderate,368072.7,True
CSD,326206.5,46801.7,2273599.2,0.328,40.4,Moderate,373709.2,True
CSD,262936.8,37724.1,1832621.2,0.333,40.6,Moderate,266674.4,True
CSD,209355.6,30036.5,1459170.0,0.31,39.9,Low,262514.6,True
CSD,291227.8,41783.1,2029804.6,0.34,40.8,Moderate,411297.7,True
CSD,163333.2,23433.3,1138401.8,0.352,41.1,Moderate,270817.4,True
CSD,193762.8,27799.3,1350490.7,0.383,42.1,Moderate,266899.5,True
CSD,265527.1,38095.7,1850674.7,0.336,40.6,Moderate,359189.3,True
CSD,323188.5,46368.7,2252564.5,0.474,44.8,Moderate,420965.7,True
CSD,435614.4,62499.1,3036152.8,0.648,50.0,Moderate,547105.7,True
CSD,562948.8,80768.5,3923650.8,0.689,51.2,Moderate,755272.4,True
CSD,445803.5,63961.0,3107168.9,0.662,50.4,Moderate,870735.7,True
CSD,519484.0,74532.3,3620708.6,0.527,46.4,Moderate,559488.0,True
CSD,455247.9,65316.0,3172995.1,0.448,44.0,Moderate,431764.6,True
CSD,474970.7,68145.8,3310459.1,0.485,45.1,Moderate,445503.0,True
CSD,324177.5,46510.6,2259457.9,0.531,46.5,Moderate,228982.2,True
CSD,513211.4,73632.4,3576990.0,0.508,45.8,Moderate,186993.8,True
CSD,176492.7,25321.4,1230121.6,0.551,47.1,Moderate,145610.9,True
CSD,134894.4,19353.1,940188.4,0.452,44.1,Moderate,147916.0,True
CSD,205011.4,29413.2,1428891.4,0.472,44.7,Moderate,196355.6,True
CSD,91934.0,13189.3,640762.5,0.902,57.6,Moderate,85919.1,True
CSD,154938.6,22228.9,1079892.8,0.521,46.2,Moderate,116159.6,True
CSD,248529.6,35657.0,1732205.8,0.254,38.2,Low,213959.2,True
CSD,150052.1,21527.8,1045834.8,0.041,31.8,Low,250889.4,True
CSD,224970.3,32276.8,1568001.2,0.628,49.4,Moderate,129668.9,True
CSD,161260.0,23135.9,1123952.1,0.822,55.2,Moderate,94174.7,True
CSD,114720.7,16458.6,799581.8,0.28,39.0,Low,139722.3,True
CSD,115278.8,16538.7,803471.5,0.529,46.4,Moderate,67642.7,True
CSD,125132.6,17952.5,872150.9,0.933,58.5,Moderate,43920.0,True
CSD,59414.5,8523.5,414107.3,0.679,50.9,Moderate,31161.6,True
CSD,54490.4,7817.0,379787.1,0.746,52.9,Moderate,33181.9,True
CSD,75126.3,10777.8,523615.9,0.689,51.2,Moderate,39973.9,True
CSD,8758.4,1255.6,61043.3,0.0,30.6,Low,9423.0,True
CSD,7060.2,1012.0,49207.1,0.836,55.6,Moderate,5803.6,True
CSD,3864.0,553.4,26930.2,0.827,55.4,Moderate,7449.4,True
CSD,5416.1,776.1,37748.4,0.948,59.0,Moderate,5542.1,True
CSD,5481.0,785.4,38200.7,0.938,58.7,Moderate,4707.7,True
CSD,3638.0,521.0,25355.1,0.899,57.5,Moderate,4439.0,True
CSD,3226.2,461.9,22485.0,0.904,57.7,Moderate,2711.0,True
CSD,1914.7,273.7,13344.0,0.726,52.3,Moderate,3791.0,True
